x,y
2000,72.67043
2000.152,71.24225
2000.304,69.82506
2000.456,68.42986
2000.608,67.06763
2000.759,65.74936
2000.911,64.48605
2001.063,63.28869
2001.215,62.16826
2001.367,61.13578
2001.519,60.20308
2001.671,59.38384
2001.823,58.69195
2001.975,58.1413
2002.127,57.74579
2002.278,57.51929
2002.43,57.47571
2002.582,57.62894
2002.734,57.99229
2002.886,58.56194
2003.038,59.31417
2003.19,60.2242
2003.342,61.26723
2003.494,62.41845
2003.646,63.65307
2003.797,64.94629
2003.949,66.27331
2004.101,67.60867
2004.253,68.91938
2004.405,70.16757
2004.557,71.31527
2004.709,72.32452
2004.861,73.15738
2005.013,73.77588
2005.165,74.14207
2005.316,74.21799
2005.468,73.97801
2005.62,73.46549
2005.772,72.74775
2005.924,71.89215
2006.076,70.96605
2006.228,70.03681
2006.38,69.17177
2006.532,68.4383
2006.684,67.90373
2006.835,67.61433
2006.987,67.55571
2007.139,67.70268
2007.291,68.03004
2007.443,68.51258
2007.595,69.12509
2007.747,69.84238
2007.899,70.63923
2008.051,71.49049
2008.203,72.373
2008.354,73.26675
2008.506,74.15199
2008.658,75.009
2008.81,75.81801
2008.962,76.55929
2009.114,77.2131
2009.266,77.75969
2009.418,78.18081
2009.57,78.48476
2009.722,78.70289
2009.873,78.86725
2010.025,79.00994
2010.177,79.16302
2010.329,79.35858
2010.481,79.62869
2010.633,80.00543
2010.785,80.51706
2010.937,81.16151
2011.089,81.92227
2011.241,82.78271
2011.392,83.72622
2011.544,84.73619
2011.696,85.796
2011.848,86.88904
2012,87.99869